Game,Quantity,Finished,Location,Console,Owner,Boxed,Digital,Unboxed,Sealed,Date Completed,Comments
Kingdom hearts 2,1,No,Tom's Room,PS2,Steven,,,,,,
Kingdom hearts 3d dream drop distance,1,No,Steven’s Room,3DS,Steven,Yes,,,,,
Kingdom hearts 3d dream drop distance,1,No,Tom's Room,3DS,Thomas,,,,,,
Kingdom of amular reckoning,1,No,Steven’s Room,360,Steven,Yes,,,,,
Kingdom under fire heroes,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
Kingdom under fire the crusades,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Kirby's air ride,1,No,Steven’s Room,Gamecube,Thomas,Yes,,,,,
kirby's epic yarn,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
klona,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Klonoa,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
klonoa 2 lunatea's veil,1,No,Tom's Room,PS2,Thomas,,,,,,
Koudelka,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
la pucelle tactics,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Lair,1,Yes,Steven’s Room,PS3,Steven,Yes,,,,,
Langrisser,1,Yes,Steven’s Room,Megadrive,Steven,,,Yes,,,
Langrisser 1 and 2 remake limited edition,1,Yes,Steven’s Room,Switch,Steven,Yes,,,,31/12/2020 11:30,Langrisser 1  remake beaten
langrisser 3 - special edition,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
langrisser 4 - special edition,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
langrisser 5,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Langrisser Mobile,1,Yes,,Mobile,Steven,,Yes,,,1/12/2021 0:20:00,Beaten chapter 50 story 1
lara croft anniversary,1,No,Tom's Room,PS2,Thomas,,,,,,
Last of us remastered left behind,1,Yes,Steven’s Room,Ps4,Steven,Yes,,,,01/12/2018 11:50,Great ending meh gameplay  overrated dlc 
Left Alive,1,"No
","Tom's Flat
",PS4,"Thomas
",Yes,,,,,
Legacy of kain defiance,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
legaia 2 duel saga,1,No,Tom's Room,PS2,Thomas,,,,,,
legend of dragoon,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
Legend of Kartia,1,No,Steven’s Room,PS1,"Shared
",Yes,,,,,
legend of legaia,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
legend of zelda collector's edition,1,No,Tom's Room,Gamecube,Thomas,,,,,,
legend of zelda link's awakening,1,No,Tom's Room,Gameboy,Thomas,,,,,,
legend of zelda skyward sword,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
Legend of zelda twilight princess,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
legend of zelda wind waker,1,No,Tom's Room,Gamecube,Thomas,,,,,,
Legends of zelda collector's edition,1,No,Steven’s Room,"Gamecube
",Shared,Yes,,,,,
Lego star wars,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
lego star wars 2,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
lemmings and no more lemmings,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
lord of the rings battle for middle earth 2,1,Yes,blue rack,360,Steven,,,Yes,,,
Lord of the rings return of the king,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Lost Kingdoms,1,No,Steven’s Room,Gamecube,Shared,Yes,,,,,
Lost kingdoms 2,1,Yes,Steven’s Room,Gamecube,Shared,Yes,,,,,
Lost Odyssey,2,No,Steven’s Room,360,Steven,Yes,,,,,
Lost Planet extreme condition colonies edition,1,Yes,blue rack,360,Steven,,,Yes,,,
luigi's mansion,1,No,Tom's Room,Gamecube,Thomas,,,,,,
lumines,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
mad maestro,1,No,Tom's Room,PS2,Thomas,,,,,,
madden 07,1,No,blue rack,360,Steven,,,Yes,,,
madworld,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
Magna Carta,1,No,Tom's Room,PS2,Thomas,,,,,,
magna carta 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
makai kingdom,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
makken x,1,No,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Man of Medan ,1,Yes,,Xbox one,Steven,,Yes,,,04/04/2020 0:00:00,"Beat with Bethan, some survived "
mario and luigi dream team bros,1,No,Tom's Room,3DS,Thomas,,,,,,
Mario and Rabbids Kingdom Battle,1,No,Steven’s Room,Switch,Steven,Yes,,,,,
Super Mario Bros and Duck Hunt,1,No,Tom's Room,nes,Shared,,,,,,
mario kart double dash,1,Yes,Tom's Room,Gamecube,Shared,Yes,,,,,
Mario Odyssey,1,No,Steven’s Room,Switch,Steven,Yes,,,,,
mario party 4,1,No,Tom's Room,Gamecube,Shared,,,,,,
mario strikers charged football,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
Marvel Ultimate alliance,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Mass Effect Andromeda ,0,Yes,,Xbox One,Steven ,,Yes,,,13/11/2020 19:48:00,"It's pretty but needs less side missions and more interesting characters, not very memorable"
mass effect trilogy,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Mech platoon,1,No,Steven’s Room,Game Boy Advance,Steven,Yes,,,,,
medieval 2 total war kingdoms,1,No,drawer,PC,Steven,,,Yes,,,
Medievil 2,1,Yes,Steven’s Room,PS1,Thomas,Yes,,,,,
megaman battle network,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Megaman legends,1,Yes,Steven’s Room,PS1,Steven,Yes,,,,,
Megaman legends 2,1,Yes,Steven’s Room,PS1,Steven,Yes,,,,,
Megaman X Command mission,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Megaman x8,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
metal gear acid,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
metal gear portable ops,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Metal gear rising,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Metal gear solid,1,No,Tom's Room,Gameboy,Thomas,,,,,,
metal gear solid,1,Yes,Steven’s Room,PS1,Thomas,Yes,,,,,
metal gear solid 2 substance,1,Yes,Tom's Room,PS2,Thomas,Yes,,,,,
metal gear solid 3 snake eater,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
metal gear solid 3 subsistence,1,Yes,Tom's Room,PS2,Thomas,Yes,,,,,
Metal Gear Solid 4,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
Metal gear solid twin snakes,1,Yes,Steven’s Room,Gamecube,Steven,Yes,,,,,
metal gear special missions,1,No,Steven’s Room,PS1,"Steven
",Yes,,,,,
Metal Marines,1,No,Steven’s Room,PC,Shared,Yes,,,,,
Metal Slug anthology,1,Yes,Steven’s Room,PS2,"Steven
",Yes,,,,,
Metios,1,No,Steven’s Room,DS,Steven,Yes,,,,,
Metro Exodus,0,Yes,,Xbox one,Steven,,,,,11/8/2019 11:02:00,Drags sometimes but pretty clever ending 
Metroid,1,No,Steven’s Room,Gameboy,Steven,,,Yes,,,
metroid prime,1,No,Tom's Room,Gamecube,Thomas,,,,,,
metroid prime 2 echoes,1,No,Tom's Room,Gamecube,Shared,Yes,,,Yes,,
mind jack,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Mirror's edge catalyst,0,Yes,,Xbox one,Steven,,,,,9/2/2019 15:35:00,"Ea access, it’s good when it works"
Misadventures of Tron Bon,1,Yes,Steven’s Room,PS1,Steven,Yes,,,,,
Mobile Suit gundam target in sight,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
monster hunter,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
monster hunter tri,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
Morrowind,1,No,Drawer,PC,Steven,,,Yes,,,
moto gp,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
musashi samurai legend,1,No,Tom's Room,PS2,"Shared
",,,,,,
My Neighbour Pedro,0,Yes,,Xbox one,Steven,,Yes,,,11/02/2020 15:30:00,"Good when it had good design, too many puzzles at the end. Interesting game though, nice blend of weird "
Mystic Heroes,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
n-gage qd disk with games,1,No,blue rack,N-Gage,Thomas,,,Yes,,,
namco museum,1,No,Tom's Room,360,Thomas,,,,,,
Nanobreaker,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
NBA live 07,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
new super mario bros wii,1,No,Tom's Room,Wii,Thomas,,,,,,
nhl 08,1,No,blue rack,360,Steven,,,Yes,,,
Ni no Kuni Wrath of the White Witch,1,No,Steven’s Room,PS3,"Thomas
",Yes,,,,,
Nier,1,No,Steven’s Room,360,Steven,Yes,,,,,
ninja assault,1,No,blue rack,360,Steven,,,Yes,,,
Ninja gaiden,1,No,Tom's Room,Master System,Shared,,,,,,
Ninja Gaiden Black,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
ninja gaiden sigma 2 +,1,No,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
ninja shadow of darkness,1,No,blue rack,PS1,"Thomas
",,,Yes,,,
Nintendogs,1,Yes,Steven’s Room,DS,Steven,Yes,,,,,
Nioh 2,1,No,Tom's Flat,PS4,Thomas,Yes,,,,,
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
no more heroes 2,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Nobunaga's Ambition : Sphere of Influence Ascension,1,No,Tom's Flat,PS4,Thomas,Yes,,,,,
Obscure 2,2,No,Steven’s Room,PS2,Steven/Thomas,Yes,,,,,
oddworld abe's exoddus,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
oddworld abe's oddysee,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Odin Sphere,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Okami,1,No,Steven’s Room,Wii,"Shared
",Yes,,,,,
Old man's journey,0,Yes,,Xbox One,Steven,,Yes,,,12/5/2020 22:09:00,Not as good as edith finich
omega boost,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
one piece mansion,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
onimusha 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
onimusha 3,1,No,blue rack,PS2,Steven,,,Yes,,,
Onimusha blade warriors,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
onimusha dawn of dreams,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
operation flashpoint,1,No,blue rack,PC,Steven,,,Yes,,,
operation flashpoint red river,1,No,Steven’s Room,PC,Steven,Yes,,,,,
opoona,1,No,Steven’s Room,Wii,"Shared
",Yes,,,,,
Ori and the blind forest,0,Yes,,Xbox one,Steven,,Yes,,,8/2/2020 13:53:00,Hard but fair! Well made platformer with a nice style
Otogi 2,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,(limited edition)
Pandoras tower,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
panzer dragoon orta,1,No,Tom's Room,Xbox,Thomas,Yes,,,,,
Panzer Dragoon Saga,1,Yes,Steven’s Room,Saturn ,Thomas,Yes,,,,,
Panzer Dragoon Zwei,1,No,Steven’s Room,Saturn ,Thomas,Yes,,,,,
Paper mario,1,No,Steven’s Room,Gamecube,"Shared
",Yes,,,,,
parappa the rapper,1,Yes,Steven’s Room,PS1,Shared,Yes,,,,,
parasite eve 2,1,No,Steven’s Room,PS1,"Steven
",Yes,,,,,
perfect dark zero,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Persona 3: fes,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
persona 4,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
persona 4 arena,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Persona 5 Royal,1,No,"Tom's Flat
",PS4,Thomas,Yes,,,,,
PGR3,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
phantasy star 3 card revolution,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Phantasy Star online,1,Yes,Tom's Room,Dreamcast,Shared,Yes,,,,,
Phantasy star online ver 2,1,Yes,Tom's Room,Dreamcast,Shared,Yes,,,,,
phantasy star universe,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
phantasy star universe ambition of illuminus,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
Phantom brave,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
pikmin,1,No,Tom's Room,Gamecube,"Shared
",,,,,,
Pikmin 2 wii,1,No,Tom's Room,Wii,Thomas,,,,,,
plasma sword,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Playstation All Stars battle,1,Yes,Steven’s Room,PS3,Steven,Yes,,,,,
pocket fighter,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
point blank,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Point blank 2,1,No,drawer,PS1,Shared,Yes,,,,,
Pokemon black 2,1,No,Steven’s Room,DS,Steven,Yes,,,,,
Pokemon blue,1,Yes,Steven’s Room,Gameboy,Steven,Yes,,,,,
pokemon colosseum,1,No,Tom's Room,Gamecube,Shared,,,,,,
pokemon gold,1,No,Tom's Room,Gameboy,Thomas,Yes,,,,,
pokemon red,1,No,Tom's Room,Gameboy,Thomas,Yes,,,,,
pokemon sapphire,1,No,Tom's Room,Gameboy,Thomas,Yes,,,,,
Pokemon silver,1,Yes,Steven’s Room,Gameboy,Steven,Yes,,,,,
Pokemon Snap,1,Yes,Steven’s Room,N64,Steven,Yes,,,,,
Pokemon Stadium with transfer,1,Yes,Steven’s Room,N64,Steven,Yes,,,,,
Pokemon XD - gale of darkness,1,No,Steven’s Room,Gamecube,Thomas,Yes,,,,,
Pokemon Yellow,1,No,Steven’s Room,Gameboy,"Shared
",,,Yes,,,
Polarion,1,No,Steven’s Room,DS,Steven,Yes,,,,,
portal 2,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
Portal Bridge Constructor,1,No,,Switch,Steven,,Yes,,,,
Power rangers battle for the grid,0,Yes,,Xbox One,Steven,,Yes,,,7/4/2020 17:41:00,Its fine 
power stone collection,1,Yes,Steven’s Room,PSP,Steven,Yes,,,,,
prey,1,No,blue rack,PC,Steven,,,Yes,,,
Prey (2017),1,Yes,Steven’s Room,PS4,Steven,Yes,,,,9/11/2020 20:15:00,"Addictive but dragged on slightly near the end, might be more interesting if you use the demon abilities "
prince of persia,1,No,Steven’s Room,360,Steven,Yes,,,,,
prince of persia sands of time,1,No,blue rack,PS2,"Shared
",,,Yes,,,
Pro evo 2008,1,No,blue rack,Wii,Thomas,,,Yes,,,
Project Octopath Traveller,1,No,Steven’s Room,Switch,Steven,Yes,,,,,
project sylpheed,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
project x zone,1,No,Steven’s Room,3DS,Steven,Yes,,,,,
project zero,1,No,Tom's Room,PS2,Thomas,,,,,,
project zero 2,1,No,Tom's Room,PS2,Thomas,,,,,,
psychic force 2012,1,Yes,Steven’s Room,Dreamcast,Steven,Yes,,,,,
puyo pop,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
Quantum Break,1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,05-09-2018 0:00:00,
R-type delta,1,Yes,Steven’s Room,PS1,Thomas,Yes,,,,,
R-type final,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
r-types,1,No,blue rack,PS1,Thomas,Yes,,,,,
Rage 2,0,Yes,,Xbox one,Steven,,Yes,,,3/5/2020 21:15:00,all style very little substance 
rainbow islands,1,No,Tom's Room,nes,Thomas,,,Yes,,,
Rare Replay,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
ray tracers,1,Yes,Steven’s Room,PS1,Shared,Yes,,,,,
rayman 3,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
raystorm,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
reality fighters,1,No,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
Red dead redemption 2,0,Yes,,Xbox one,Steven,,Yes,,,8/1/2019 20:25:00,Way better than expected followed by some super dumb stuff 
Red Faction,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
Red Faction Armageddon,1,No,Steven’s Room,360,Steven,Yes,,,,,
Red Faction Guerrilla remastered,1,Yes,,Steam,Steven,,Yes,,,11/12/2018 21:06,The game on pc is as buggy as the original 
Remnant From The Ashes,1,Yes,,Xbox One,Steven,,Yes,,,2/2/2020 15:58:00,"Good game, could do with more enemy and weapon variety but I enjoyed it"
resident evil,1,No,Tom's Room,Gamecube,Thomas,,,,,,
Resident evil 2,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
Resident evil 3 nemesis,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
resident evil 4,1,Yes,Tom's Room,Gamecube,Thomas,Yes,,,,,
Resident evil 4,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
resident evil 4(steelbook),1,Yes,Tom's Room,PS2,Thomas,Yes,,,,,
Resident evil 5,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Resident Evil code veronica japan,2,No,Steven’s Room,Dreamcast,Steven/Thomas,Yes,,,,,
Resident evil director's cut,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Resident Evil Outbreak,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
resident evil survivor,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Resident Evil Zero,1,No,Steven’s Room,Gamecube,Thomas,Yes,,,,,
Resistance 2,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Resistance Fall of Man,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Resonance of fate,1,No,Steven’s Room,360,Steven,Yes,,,,,
Rhythm Thief,1,Yes,Steven’s Room,3DS,Steven,Yes,,,,,
ridge racer type 4,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
road rash,1,Yes,Tom's Room,Gameboy,Steven,Yes,,,,,
rock band 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
rogue galaxy,1,No,Steven’s Room,PS2,Shared,Yes,,,Yes,,
Romance of the three kingdoms ver8,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Ronin Blade,1,No,drawer,PS1,Thomas,Yes,,,,,
Rosco Mcqueen,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Ruiner,1,Yes,,Steam,Steven,,Yes,,,23/10/2018 11:50:00,Pretty easy but not memorable but beat it about 3 hours
S.L.A.I,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
saga frontier 2,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Sakura Taisen Hanagumi Tsuushin,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Sakura Wars,1,Yes,Tom's Flat,PS4,Thomas,,,,,5/3/2021 0:00:01,"I really enjoyed it, easy but dumb good fun. Good length like persona power rangers"
sakura wars so long my love,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
samurai warriors,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Samurai warriors 2 empires,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Saturn baseball game,1,no,blue rack,Saturn ,Steven,,,Yes,,,
Scrapland,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
sega mega drive ultimate collection,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
sega superstars,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
sega superstars tennis,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Sega swirl demo disk,1,No,blue rack,Dreamcast,"Shared
",,,Yes,,,
sentient,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
seven samurai 20xx,1,No,blue rack,PS2,"Thomas
",,,Yes,,,
shadow hearts,1,No,Tom's Room,PS2,Thomas,,,,,,
Shadow Hearts : Covenant,2,No,Steven’s Room,PS2,Steven/Thomas,Yes,,,,,
Shadow of Colossus,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shadow of rome,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shadow of the damned,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Shadow of the Tomb raider,0,Yes,,Xbox One,Steven,,,,,29/05/2019 00:00:00,Better than expected 
Shadow Of War (lotr),1,Yes,,Xbox One,Steven,,Yes,,,16/10/2018 10:00:00,About 7 hours too long (90% complete in 27hours) the epilogue stuff sucks
Shadow the hedgehog - signed,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Shemune,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
shemune (one disk),1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Shenmue 2,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Shenmue 2,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Shenmue 3,1,Yes,Steven’s Room,Ps4,Steven,Yes,,,,12/1/2020 23:11:00,"Good Shenmue game, plot doesn't really get progressed though"
Sherlock Holmes Crime and Punishment,,Yes,,PS3,Steven,,Yes,,,2/10/2018 21:12:00,With Matt - Surprisingly Good! shame about last case glitch
Sherlock Holmes The testament of Sherlock Holmes,1,No,Matt's House,PS3,Steven,,,Yes,,,Unboxed with Manual
shin megami tensei digital devil saga,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shin megami tensei digital devil saga 2,1,No,Tom's Room,PS2,"Steven
",,,,,,
Shin megami tensei digital devil saga bonus disk,1,No,Steven’s Room,PS2,Steven,Yes,,,Yes,,
shin megami tensei lucifer's call,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Shin megami tensei Persona 3,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
shogun 2 total war,1,No,Steven’s Room,PC,Steven,Yes,,,,,
silent bomber,1,No,blue rack,PS1,Thomas,,,Yes,,,
Silent Hill,1,No,drawer,PS1,Thomas,Yes,,,,,
Silent Hill 4: the room,1,No,Tom's Room,PS2,Thomas,,,,,,
silent hill shattered memories,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
silpheed the lost planet,1,No,Tom's Room,PS2,Thomas,,,,,,
silver,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
sin and punishment successor of the skies,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Singstar Celebration,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
singstar party,1,Yes,Steven’s Room,PS2,Shared,Yes,,,,,
singstar popworld,1,Yes,Steven’s Room,PS2,Shared,Yes,,,,,
Sins of a solar empire trinity,1,Yes,Steven’s Room,"PC
",Steven,Yes,,,,,
Siren Blood Curse,1,No,Steven’s Room,PS3,Steven,No,Yes,,,,
Skies of arcadia,1,No,Tom's Room,Dreamcast,"Thomas
",Yes,,,,,
Slay the spire,1,Yes,,PC,Steven,,Yes,,,29/02/2020 13:55:00,I enjoy this game way more than I thought 
Sonic 3,1,Yes,Tom's Room,Megadrive,Thomas,Yes,,,,,
sonic adventure,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Sonic adventure 2 battle,1,No,Tom's Room,Gamecube,Thomas,Yes,,,,,
sonic adventure dx,1,No,Tom's Room,Gamecube,Thomas,Yes,,,,,
Sonic and the lost world,1,Yes,Steven’s Room,Wii U,Steven,Yes,,,,4/5/2019 20:54:00,"Solo,  most disappointing sonic game"
Sonic CD,1,Yes,Tom's Room,PC,Thomas,Yes,,,,,Beaten with matt
sonic chaos,1,Yes,Tom's Room,Master System,Thomas,Yes,,,,,
sonic colours,1,Yes,Steven’s Room,Wii,Thomas,Yes,,,,,With Matt
Sonic forces,1,Yes,,PC,Steven,,Yes,,,01/04/2019 21:35,Sad duck (Its actually a good one)
Sonic mega collection +,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
sonic the hedgehog,1,Yes,Tom's Room,Master System,Thomas,Yes,,,,,
soul calibur 3,1,No,Tom's Room,PS2,Thomas,,,,,,
Soul Calibur 7,1,Yes,,PC,Steven,,Yes,,,16/04/2020 23:58:09,Beat the libra of souls mission mode
soul fighter,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
South Park the fractured but whole (gold edition),1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,7/1/2018 0:00:00,last dlc beat on 20th of October 12:12pm
Space Channel 5,1,No,drawer,Dreamcast,Shared,Yes,,,,,
space invaders invasion day,1,No,drawer,PS2,Thomas,,,Yes,,,
spiderman 3,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
splatterhouse,1,No,Steven’s Room,360,Steven,Yes,,,,,
spyro enter the ....,1,No,blue rack,PS2,Thomas,,,Yes,,,
Spyro the Dragon,1,No,drawer,PS1,Thomas,Yes,,,,,
star fox adventures,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star Fox assault,1,No,Steven’s Room,Gamecube,"Steven
",Yes,,,,,
Star Ixion,1,No,drawer,PS1,Thomas,Yes,,,,,
Star ocean second story,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Star Ocean the last hope,1,No,Steven’s Room,360,Steven,Yes,,,,,
star ocean till end of time,1,No,Tom's Room,PS2,"
Shared",Yes,,,Yes,,
star wars battlefront 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Star wars battlefront 2,0,Yes,,Xbox one,Steven,,Yes,,,9/1/2019 12:00:00,it has its moments 
star wars clone wars,1,Yes,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star wars dark forces,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
star wars jedi knight jedi academy,1,No,Steven’s Room,Xbox,"Steven
",Yes,,,,,
Star Wars Jedi Knight II: Jedi Outcast,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star wars republic commando,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Star wars rogue squadron,1,Yes,Steven’s Room,N64,Steven,Yes,,,,,
star wars rogue squadron 3 rebel strike,1,No,Tom's Room,Gamecube,Shared,,,,,,
Star wars shadow of the empire,1,Yes,Steven’s Room,N64,"Steven
",,,Yes,,,
Star wing,1,No,Steven’s Room,Snes,"Thomas
",Yes,,,,,
starcraft 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
starcraft 2 heart of the swarm,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
State of Decay 2,0,Yes,Game Pass,Xbox One,Steven,,Yes,,,8/1/2018 0:00:00,
State of Decay 2 heartland,0,Yes,,Xbox one,Steven,,,,,26/08/2019 10:47:00,Pretty good alround
steel dragon ex,1,No,blue rack,PS2,Shared,,,Yes,,,
stella deus the gate of eternity,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
stormrise,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
street fighter alpha 3,1,Yes,Steven’s Room,Dreamcast,Thomas,Yes,,,,,
Streets of Rage 4,0,Yes,,Xbox One,Steven,,Yes,,,01/05/2020 0:00:00,lives up to the name
Streets of rogue,1,Yes,,Pc,Steven,,Yes,,,02/09/2019 22:58,"Fun addictive game, beat with Canibal"
suikoden 4,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
suikoden tactics,1,No,Tom's Room,PS2,Shared,,,,,,
summoner 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Sunset Overdrive,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
super bust a move,1,No,blue rack,PS2,"Thomas
",,,Yes,,,
Super Mario 3D All Stars,1,,Tom's flat,Switch,Thomas,,,,,,
Super mario all stars 25th anniversary,1,No,Steven’s Room,Wii,"Thomas
",Yes,,,,,
